ID,LABELS,X.COR,Y.COR
AD19-006,LM6,3556,1589
AD19-006,LM7,3570,1441
AD19-006,LM8,3124,1379
AD19-006,LM9,3020,1346
AD19-006,LM10,2777,1293
AD19-006,LM11,2323,1358
AD19-006,LM12,2243,1386
AD19-006,LM13,2518,1502
AD19-006,LM14,2556,1406
AD19-006,LM15,2143,1564
AD19-006,LM16,2265,1569
AD19-007,LM1,2491,1285
AD19-007,LM2,2708,1395
AD19-007,LM3,3095,1527
AD19-007,LM4,3389,1483
AD19-007,LM5,3709,1452
AD19-007,LM6,3734,1335
AD19-007,LM7,3709,1218
AD19-007,LM8,3387,1194
AD19-007,LM9,3317,1143
AD19-007,LM10,3105,1049
AD19-007,LM11,2746,1099
AD19-007,LM12,2687,1122
AD19-007,LM13,2857,1211
AD19-007,LM14,2895,1158
AD19-007,LM15,2577,1258
AD19-007,LM16,2681,1267
AD19-009,LM1,2245,1317
AD19-009,LM2,2485,1461
AD19-009,LM3,2838,1558
AD19-009,LM4,3157,1514
AD19-009,LM5,3496,1503
AD19-009,LM6,3522,1380
AD19-009,LM7,3496,1254
AD19-009,LM8,3134,1232
AD19-009,LM9,3055,1198
AD19-009,LM10,2876,1139
AD19-009,LM11,2534,1159
AD19-009,LM12,2461,1169
AD19-009,LM13,2638,1290
AD19-009,LM14,2672,1219
AD19-009,LM15,2333,1305
AD19-009,LM16,2445,1314
AD19-010,LM1,2468,3197
AD19-010,LM2,2730,3326
AD19-010,LM3,3220,3445
AD19-010,LM4,3610,3358
AD19-010,LM5,3987,3323
AD19-010,LM6,4008,3177
AD19-010,LM7,3991,3017
AD19-010,LM8,3547,2998
AD19-010,LM9,3424,2967
AD19-010,LM10,3204,2926
AD19-010,LM11,2760,2982
AD19-010,LM12,2671,3010
AD19-010,LM13,2899,3137
AD19-010,LM14,2936,3061
AD19-010,LM15,2562,3196
AD19-010,LM16,2693,3203
AD19-011,LM1,2416,2724
AD19-011,LM2,2671,2823
AD19-011,LM3,3175,2901
AD19-011,LM4,3554,2799
AD19-011,LM5,3903,2744
AD19-011,LM6,3924,2605
AD19-011,LM7,3860,2457
