Residuals,Location,Spp
0.161773959,Q1,form
0.887627988,Q1,form
0.763471699,Q1,form
0.568256023,Q1,form
1.36E-01,Q1,form
0.29918058,Q1,form
0.210851313,Q1,form
0.9894232,Q1,form
0.91376937,Q1,form
1.148214642,Q1,form
0.68608996,Q1,form
0.527988241,Q1,form
0.303969093,Q1,form
1.203346761,Q1,form
0.47788863,Q1,form
1.590050103,Q1,form
1.565899925,Q1,form
0.913254435,Q1,form
0.161864552,Q1,form
2.10E-01,Q1,form
0.21674356,Q1,form
0.161276759,Q1,form
0.249109826,Q1,form
0.112134,Q1,form
0.08811937,Q1,form
0.30841328,Q1,form
0.631990375,Q1,form
0.253103353,Q1,form
0.871606312,Q1,form
0.21435789,Q1,form
0.742929889,Q1,form
1.163318484,Q1,form
0.832912814,Q1,form
0.227653129,Q1,form
3.93E-01,Q1,form
0.28324941,Q1,form
0.080340143,Q1,form
0.150951974,Q1,form
2.7333893,Q1,form
0.118584301,Q1,form
0.09346717,Q1,form
0.6842906,Q1,form
0.591710348,Q1,form
0.401153644,Q1,form
0.64617536,Q1,form
0.892831701,Q1,form
0.00751697,Q1,form
0.254196902,Q1,form
0.545442517,Q1,form
6.81E-04,Q1,form
0.36789322,Q1,form
1.022670095,Q1,form
0.026023798,Q1,form
0.46321739,Q1,form
0.84264215,Q1,form
0.26858773,Q1,form
