ID,SPP,SL.dig,BD1.dig,BD2.dig,CPD.dig,CPL.dig,PreDL.dig,DbL.dig,HL.dig,HD1.dig,HD2.dig,SnL.dig,OL.dig,SL.man,BD1.man,CPD.man,CPL.man,PreDL.man,DbL.man,HL.man,HD1.man,SnL.man,OL.man
AD23-109,p.form,43.3941337,14.48217329,18.26040575,7.607647365,14.03755028,15.18557272,8.671236012,8.567706484,8.768382791,7.982814787,2.526339968,3.637679197,38.5,12.4,6.8,11.8,21.9,8.2,11,8.3,2.6,3.3
AD23-110,p.form,36.53977446,11.99323499,15.36635841,7.10448,10.37772973,12.3869616,7.368872211,7.599392128,7.823442215,7.233157291,2.222071567,3.143677876,34.1,11,6.2,9.4,18.9,7.4,8.6,7.3,2.5,2.8
AD23-111,p.form,40.75590978,14.18434297,18.13790852,7.796562986,13.59651298,15.03851736,7.636220814,8.420683811,8.516212491,7.6088683,3.047281621,2.8357368,38.5,12.5,7.2,11.1,23.2,7.9,10.4,8.6,3.2,3
AD23-112,p.form,42.35499813,15.12605221,19.19282036,8.104089233,13.5329462,16.06048173,7.868459473,7.964192642,8.845215231,7.745254848,2.457340772,3.395906989,38,12.2,7,10.8,22.8,7.5,8.7,7.9,3,3.5
AD23-113,p.form,37.70395712,12.36770837,16.05141741,6.431568903,12.41527888,13.6373733,7.363364936,6.914393207,7.478788353,6.741663387,2.232542966,3.086767854,33,10.3,5.5,10.1,18.7,6.9,8.4,7.3,2.6,3.1
AD23-114,p.form,23.26668524,7.167140319,10.01082053,3.898877789,7.978464851,8.871258496,3.758972107,4.384151094,4.806402855,4.376276247,1.266552793,2.195816656,22.1,6.5,3.5,6.3,12.7,4.7,5.8,4.7,1.7,2.4
AD23-115,p.form,31.54416434,9.967240173,12.96308514,5.2762,10.74659183,11.95392929,5.540886269,5.096788126,6.295236856,5.535525553,2.194372614,2.529291501,29.1,9.4,4.2,9.2,17,5.4,7.8,6.1,2.5,2.7
AD23-116,p.form,38.16551113,13.25426595,16.37161405,6.589833741,12.57525312,13.22360547,7.037906582,7.988589418,8.381,7.935668466,2.39782936,3.010597768,35.1,11.2,6.3,9.5,20.7,7.5,9,7.6,2.6,3
AD23-117,p.form,38.01578388,12.95080297,16.47378545,6.59448,13.34478837,12.38366951,7.712073796,8.550852952,8.174346924,7.975286867,2.504576702,3.055441424,31.8,10.9,5.7,9.6,19.5,6.8,8.5,6.6,2.5,3
AD23-118,p.form,35.0400344,12.16098525,15.71921284,6.291960632,10.02668205,12.41503175,6.845792621,7.494574676,7.673056004,7.162859516,1.939409577,2.637440414,31.5,9.1,6.5,9.2,18.7,6.5,8.5,7.5,2.5,3.2
AD23-119,p.form,32.43362502,10.60949868,13.84491222,5.505605208,11.29899,10.59138418,5.754993587,7.173940057,6.82497433,6.729872019,1.747952929,2.75264,29,9.4,4.5,9,15.7,5.4,7.4,6.8,2.2,2.6
AD23-120,p.lat,39.23967237,14.43480121,16.71805608,6.086084051,12.91704316,12.11515463,8.709250682,8.52665894,9.301046748,8.389309447,2.478160164,3.356238895,35.4,11.3,6.1,10.4,29.4,8.7,8.7,8.2,2.7,3.3
